notification_id,admin_code,ascii_name,latitude,longitude,population
A49BC7BA8CB5A8EE984132300C564857,NV,Goldfield,37.70854,-117.23563,1733
A49BC7BA8CB5A8EE984132300C564858,CA,Wilkerson,37.27943,-118.38769,1342
A49BC7BA8CB5A8EE984132300C564859,CA,Bridgeport,38.25575,-119.23127,1970
A49BC7BA8CB5A8EE984132300C564860,CA,June Lake,37.77965,-119.07542,2333
A49BC7BA8CB5A8EE984132300C564861,CA,Walker,38.51491,-119.47683,1647
A49BC7BA8CB5A8EE984132300C564862,NV,Smith,38.80047,-119.32738,1453
A49BC7BA8CB5A8EE984132300C564863,NV,Smith Valley,38.78421,-119.34425,1469
A49BC7BA8CB5A8EE984132300C564864,CA,Big Pine,37.16493,-118.28955,1216
A49BC7BA8CB5A8EE984132300C564865,NV,Tonopah,38.06716,-117.23008,1843
A49BC7BA8CB5A8EE984132300C564866,CA,West Bishop,37.36104,-118.45511,1342
A49BC7BA8CB5A8EE984132300C564867,CA,Dixon Lane-Meadow Creek,37.38639,-118.41527,1275
A49BC7BA8CB5A8EE984132300C564868,NV,Hawthorne,38.52464,-118.62458,1320
A49BC7BA8CB5A8EE984132300C564869,CA,Bishop,37.36354,-118.39511,1264
A49BC7BA8CB5A8EE984132300C564870,CA,Mammoth Lakes,37.64855,-118.97208,2402
